,0,1,2,time_duration
114,1.15161,1.285339,/a/,0.133729
115,1.453328,1.557216,/a/,0.10388799999999998
116,1.732942,1.851197,/e/,0.118255
117,1.95398,2.012555,/a/,0.05857499999999982
118,2.09655,2.27117,/ai/,0.17462
119,2.469,2.617096,/i/,0.14809600000000023
120,0.114009,0.244726,/e/,0.130717
121,0.391168,0.442275,/e/,0.05110699999999996
122,0.611322,0.702726,/a/,0.09140399999999993
123,0.810838,0.895361,/i/,0.08452300000000001
124,0.979885,1.094876,/a/,0.11499099999999995
125,1.202988,1.331739,/a/,0.12875100000000006
126,1.431005,1.595139,/e/,0.164134
127,1.685559,1.73765,/a/,0.05209099999999989
128,1.776963,1.950924,/ai/,0.17396100000000003
129,2.142577,2.330298,/i/,0.1877209999999998
130,0.104301,0.334103,/i/,0.22980199999999998
131,0.413813,0.533377,/a/,0.119564
132,0.576624,0.667358,/a/,0.09073399999999998
133,0.707213,0.831865,/a/,0.12465199999999999
134,0.957366,1.058275,/e/,0.10090900000000003
135,1.119329,1.218543,/a/,0.09921399999999991
136,1.274509,1.397466,/i/,0.1229570000000002
137,0.147568,0.313207,/i/,0.165639
138,0.409578,0.489385,/a/,0.07980700000000002
139,0.530795,0.633942,/a/,0.10314699999999999
140,0.67234,0.775487,/a/,0.10314699999999999
141,0.886917,0.992323,/e/,0.105406
142,1.046532,1.195606,/a/,0.14907399999999993
143,1.239274,1.332634,/i/,0.09336000000000011
144,0.123576,0.260063,/a/,0.13648699999999997
145,0.398394,0.490615,/i/,0.092221
146,0.555169,0.627101,/i/,0.071932
147,0.7101,0.82261,/i/,0.11251
148,0.848431,0.970163,/a/,0.12173199999999995
149,1.147227,1.233914,/o/,0.08668699999999996
150,1.340891,1.462622,/o/,0.12173100000000003
151,1.529021,1.608331,/i/,0.07930999999999999
152,1.671041,1.918193,/i/,0.24715200000000004
153,2.091568,2.139523,/o/,0.04795499999999997
154,2.274165,2.405119,/a/,0.13095400000000001
155,2.523161,2.567427,/i/,0.044265999999999917
156,2.742647,2.917866,/a/,0.17521900000000024
157,0.118874,0.281871,/a/,0.162997
158,0.418395,0.48484,/i/,0.06644499999999998
159,0.535192,0.602156,/i/,0.06696400000000002
160,0.714801,0.789551,/i/,0.07474999999999998
161,0.805643,0.908425,/a/,0.10278200000000004
162,1.051697,1.140982,/o/,0.08928499999999984
163,1.180953,1.319553,/o/,0.13860000000000006
164,1.354851,1.384959,/i/ ,0.030108000000000024
165,1.46542,1.575988,/i/,0.110568
166,1.689671,1.827233,/o/,0.13756200000000018
167,1.919632,2.034873,/a/,0.11524100000000015
168,2.154006,2.205657,/i/,0.051651000000000113
169,2.345295,2.481818,/a/,0.13652299999999995
170,0.0,0.134728,/a/,0.134728
171,0.232887,0.325272,/u/,0.092385
172,0.392636,0.473472,/i/,0.08083600000000002
173,0.540836,0.598577,/a/,0.05774100000000004
174,0.775648,0.810292,/i/,0.03464400000000001
175,0.958493,1.020083,/e/,0.061590000000000034
176,1.156735,1.364601,/e/,0.20786599999999988
177,1.466609,1.549371,/a/,0.082762
178,1.603262,1.759161,/o/,0.155899
179,1.866944,1.968952,/e/,0.1020080000000001
180,2.069035,2.205688,/i/,0.1366529999999999
181,2.34619,2.432801,/i/,0.086611
182,2.638742,2.767696,/i/,0.1289539999999998
183,0.0,0.165238,/a/,0.165238
184,0.277016,0.365467,/u/,0.088451
185,0.40629,0.480161,/i/ ,0.07387100000000002
186,0.526817,0.589024,/a/,0.06220700000000001
187,0.691082,0.778561,/i/,0.08747899999999997
188,0.907835,0.99823,/e/,0.090395
189,1.11098,1.219843,/e/,0.10886299999999993
190,1.340369,1.412296,/a/,0.07192700000000007
191,1.54157,1.660153,/o/,0.11858299999999988
192,1.790399,1.852606,/e/,0.0622069999999999
193,1.983824,2.101435,/i/,0.11761099999999991
194,2.206409,2.31916,/i/,0.11275100000000027
195,2.489257,2.622419,/i/,0.133162
196,0.176457,0.309992,/i/,0.133535
197,0.42286,0.543677,/i/,0.12081699999999995
198,0.627932,0.791671,/ao/,0.16373899999999997
199,0.791671,0.831413,/e/,0.039741999999999944
200,0.95223,1.039664,/i/,0.0874339999999999
201,1.133456,1.203403,/u/,0.06994699999999998
202,1.286067,1.383039,/a/,0.09697199999999984
203,1.543599,1.710517,/o/,0.16691800000000012
204,0.096013,0.200449,/i/,0.10443599999999999
205,0.254351,0.353734,/i/,0.099383
206,0.458169,0.619876,/ae/,0.161707
207,0.619876,0.658619,/e/,0.03874299999999997
208,0.773161,0.854014,/i/,0.08085300000000006
209,0.92813,0.997192,/u/,0.06906199999999996
210,1.106681,1.187535,/a/,0.08085399999999998
211,1.330713,1.489051,/o/,0.15833799999999987
